contributor,repo_with_contributor_PR,contributor_PR,reason_for_inclusion_of_the_contributor_in_the_list,comment_to_the_reason
metastck,https://github.com/metastck/putler-doser,https://github.com/metastck/putler-doser/pull/2,"Малварь, шифровальщик или иные фатальные угрозы",Досилка
vnestoruk,https://github.com/vnestoruk/ban-dera,https://github.com/vnestoruk/ban-dera/pull/14,DDOS,"Сервис, который ддосит сайты из списка с компьютеров пользователей, у кого открыта вкладка с сайтом."
vnestoruk,https://github.com/vnestoruk/ban-dera,https://github.com/vnestoruk/ban-dera/pull/11,DDOS,"Сервис, который ддосит сайты из списка с компьютеров пользователей, у кого открыта вкладка с сайтом."
vnestoruk,https://github.com/vnestoruk/ban-dera,https://github.com/vnestoruk/ban-dera/pull/26,DDOS,"Сервис, который ддосит сайты из списка с компьютеров пользователей, у кого открыта вкладка с сайтом."
vnestoruk,https://github.com/vnestoruk/ban-dera,https://github.com/vnestoruk/ban-dera/pull/12,DDOS,"Сервис, который ддосит сайты из списка с компьютеров пользователей, у кого открыта вкладка с сайтом."
spaceship-prompt,https://github.com/spaceship-prompt/spaceship-prompt,https://github.com/spaceship-prompt/spaceship-prompt/pull/1115,Политические лозунги,Поддержка полит лозунгами и удаление всех русских issues
0x77dev,https://github.com/dstack-js/dstack,https://github.com/dstack-js/dstack/pull/85,"Малварь, шифровальщик или иные фатальные угрозы","Набор инструментов для атак инфраструктуры РФ - доставка еды, транспорт, гос.ресурсы, различных коммерческих компаний"
0x77dev,https://github.com/dstack-js/dstack,https://github.com/dstack-js/dstack/pull/85,"Малварь, шифровальщик или иные фатальные угрозы",Досилка
k01ek,https://github.com/k01ek/netbox-devicetype-importer,https://github.com/k01ek/netbox-devicetype-importer/pull/5,Политические лозунги,"Примеры программ на разных языках программированиях выводящие текст ""No to war"""
danieldanielecki,https://github.com/Ditectrev/Professional-Scrum-Developer-I-PSD-I-Exam-Dumps-Questions-Answers,https://github.com/Ditectrev/Professional-Scrum-Developer-I-PSD-I-Exam-Dumps-Questions-Answers/pull/3,Судя по всему координационный центр атак,Подборка целей и инструментов для атак по инфраструктуре РФ
AlexTrushkovsky,https://github.com/AlexTrushkovsky/NoWarDDoS,https://github.com/AlexTrushkovsky/NoWarDDoS/pull/86,ддосилка,"Вообще на неё пожаловались много раз, и в итоге гитхаб выкосил репу, на что автор даже написал что гитхаб поддерживает Русских. Репа опять появилась."
k01ek,https://github.com/k01ek/netbox-devicetype-importer,https://github.com/k01ek/netbox-devicetype-importer/pull/5,Политические лозунги,"Примеры программ на разных языках программированиях выводящие текст ""No to war"""
AlexTrushkovsky,https://github.com/AlexTrushkovsky/NoWarDDoS,https://github.com/AlexTrushkovsky/NoWarDDoS/pull/87,ддосилка,"Вообще на неё пожаловались много раз, и в итоге гитхаб выкосил репу, на что автор даже написал что гитхаб поддерживает Русских. Репа опять появилась."
jaamo,https://github.com/evermade/support-ukraine-banner-plugin,https://github.com/evermade/support-ukraine-banner-plugin/pull/1,"Малварь, шифровальщик или иные фатальные угрозы",PHP_CodeSniffer rule adding non-collapsable comment calling out to Stop The War
RIAEvangelist,https://github.com/RIAEvangelist/peacenotwar,https://github.com/RIAEvangelist/peacenotwar/pull/91,"Малварь, шифровальщик или иные фатальные угрозы",Сама библиотека удаляющая файловую систему по IP из России и Белоруссии
Ni55aN,https://github.com/retejs/rete,https://github.com/retejs/rete/pull/565,Политические лозунги,#StandWithUkraine postinstall message
almerico,https://github.com/almerico/bombardier,https://github.com/almerico/bombardier/pull/42,"Малварь, шифровальщик или иные фатальные угрозы",Организация DoS-атак на инфраструктуру России: Госуслуги и проч.
almerico,https://github.com/almerico/bombardier,https://github.com/almerico/bombardier/pull/45,"Малварь, шифровальщик или иные фатальные угрозы",Организация DoS-атак на инфраструктуру России: Госуслуги и проч.
almerico,https://github.com/almerico/bombardier,https://github.com/almerico/bombardier/pull/46,"Малварь, шифровальщик или иные фатальные угрозы",Организация DoS-атак на инфраструктуру России: Госуслуги и проч.
almerico,https://github.com/almerico/bombardier,https://github.com/almerico/bombardier/pull/35,"Малварь, шифровальщик или иные фатальные угрозы",Организация DoS-атак на инфраструктуру России: Госуслуги и проч.
almerico,https://github.com/almerico/bombardier,https://github.com/almerico/bombardier/pull/36,"Малварь, шифровальщик или иные фатальные угрозы",Организация DoS-атак на инфраструктуру России: Госуслуги и проч.
almerico,https://github.com/almerico/bombardier,https://github.com/almerico/bombardier/pull/37,"Малварь, шифровальщик или иные фатальные угрозы",Организация DoS-атак на инфраструктуру России: Госуслуги и проч.
RIAEvangelist,https://github.com/RIAEvangelist/peacenotwar,https://github.com/RIAEvangelist/peacenotwar/pull/91,"Малварь, шифровальщик или иные фатальные угрозы","В библиотеку node-ipc добавили шифровальщик для ip России и Белоруссии. Оно реально всю фс закидывает сердечками, если ты из России и Беларуси. Причем вручную поставили 25% вероятности в начале таймаута, чтобы эта штука была больше похоже на плавающий баг, чем на что-то намеренное"
fabpot,https://github.com/symfony/recipes,https://github.com/symfony/recipes/pull/1071,Политические лозунги,Шильдик #StandWithUkraine
fabpot,https://github.com/symfony/flex,https://github.com/symfony/flex/pull/883,Политические лозунги,Шильдик #StandWithUkraine
pabio,https://github.com/pabio/redirect-russia,https://github.com/pabio/redirect-russia/pull/8,Политические лозунги,Установленный скрипт на сайте редиректит на страницу с агиткой. Проверяет по ip пользователя и таймзоне.
pabio,https://github.com/pabio/redirect-russia,https://github.com/pabio/redirect-russia/pull/8,Политические лозунги,Установленный скрипт на сайте редиректит на страницу с агиткой. Проверяет по ip пользователя и таймзоне.
pabio,https://github.com/pabio/redirect-russia,https://github.com/pabio/redirect-russia/pull/7,Политические лозунги,Установленный скрипт на сайте редиректит на страницу с агиткой. Проверяет по ip пользователя и таймзоне.
CoreELEC,https://github.com/CoreELEC/CoreELEC,https://github.com/CoreELEC/CoreELEC/pull/311,Политические лозунги,Замена логотипа в цвета флага Украины
CoreELEC,https://github.com/CoreELEC/CoreELEC,https://github.com/CoreELEC/CoreELEC/pull/311,Политические лозунги,Замена логотипа в цвета флага Украины
pnpm,https://github.com/pnpm/pnpm,https://github.com/pnpm/pnpm/pull/4532,Политические лозунги,"Вредительства не замечено, но сайт с доками блочит ру айпи"
zkochan,https://github.com/pnpm/pnpm,https://github.com/pnpm/pnpm/pull/4532,Политические лозунги,Заблокировал сайт pnpm.io для РФ и РБ
zkochan,https://github.com/teambit/bit,https://github.com/teambit/bit/pull/5648,Политические лозунги,Заблокировал сайт pnpm.io для РФ и РБ
zkochan,https://github.com/pnpm/pnpm.github.io,https://github.com/pnpm/pnpm.github.io/pull/238,Политические лозунги,Заблокировал сайт pnpm.io для РФ и РБ
arendst,https://github.com/arendst/Tasmota,https://github.com/arendst/Tasmota/pull/15289,Политические лозунги,Варьируется от сообщений в логе до неработоспособности устройства
arendst,https://github.com/arendst/Tasmota,https://github.com/arendst/Tasmota/pull/15286,Политические лозунги,Варьируется от сообщений в логе до неработоспособности устройства
ajax-lives,https://github.com/ajax-lives/NoRussian,https://github.com/ajax-lives/NoRussian/pull/80,"Малварь, шифровальщик или иные фатальные угрозы",досилка
ajax-lives,https://github.com/ajax-lives/NoRussian,https://github.com/ajax-lives/NoRussian/pull/80,"Малварь, шифровальщик или иные фатальные угрозы",досилка
ajax-lives,https://github.com/ajax-lives/NoRussian,https://github.com/ajax-lives/NoRussian/pull/77,"Малварь, шифровальщик или иные фатальные угрозы",досилка
ajax-lives,https://github.com/ajax-lives/NoRussian,https://github.com/ajax-lives/NoRussian/pull/52,"Малварь, шифровальщик или иные фатальные угрозы",досилка
voku,https://github.com/voku/HtmlMin,https://github.com/voku/HtmlMin/pull/68,Политические лозунги,used e.g. in Laravel Core
voku,https://github.com/voku/HtmlMin,https://github.com/voku/HtmlMin/pull/68,Политические лозунги,used e.g. in Laravel Core
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/102,Репозиторий с лозунгами/баннерами,"В репозитории есть список проектов, которые его используют. Возможно в них есть ещё ""закладки"
vshymanskyy,https://github.com/wasm3/wasm3,https://github.com/wasm3/wasm3/pull/316,Репозиторий с лозунгами/баннерами,"В репозитории есть список проектов, которые его используют. Возможно в них есть ещё ""закладки"
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/101,Репозиторий с лозунгами/баннерами,"В репозитории есть список проектов, которые его используют. Возможно в них есть ещё ""закладки"
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/100,Репозиторий с лозунгами/баннерами,"В репозитории есть список проектов, которые его используют. Возможно в них есть ещё ""закладки"
RIAEvangelist,https://github.com/RIAEvangelist/peacenotwar,https://github.com/RIAEvangelist/peacenotwar/pull/91,Политические лозунги,автор мальваря в node-ipc
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/99,Репозиторий с лозунгами/баннерами,"В репозитории есть список проектов, которые его используют. Возможно в них есть ещё ""закладки"
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/98,Репозиторий с лозунгами/баннерами,"В репозитории есть список проектов, которые его используют. Возможно в них есть ещё ""закладки"
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/96,Репозиторий с лозунгами/баннерами,"В репозитории есть список проектов, которые его используют. Возможно в них есть ещё ""закладки"
webgtx,https://github.com/webgtx/webgtx.io,https://github.com/webgtx/webgtx.io/pull/2,"Малварь, шифровальщик или иные фатальные угрозы",ПО разработанное и настроенное для атак ресурсов РФ
Seldaek,https://github.com/Seldaek/monolog,https://github.com/Seldaek/monolog/pull/1635,Политические лозунги,Выводится шильдик #StandWithUkrane
Seldaek,https://github.com/composer/composer,https://github.com/composer/composer/pull/10694,Политические лозунги,Выводится шильдик #StandWithUkrane
vasylnahuliak,https://github.com/DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped/pull/59272,Политические лозунги,"В документации полит. лозунг ""STOP RUSSIA'S INVASION OF UKRAINE"". https://ru.reactjs.org"
vasylnahuliak,https://github.com/EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books/pull/6748,Политические лозунги,"В документации полит. лозунг ""STOP RUSSIA'S INVASION OF UKRAINE"". https://ru.reactjs.org"
vasylnahuliak,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow/pull/54657,Политические лозунги,"В документации полит. лозунг ""STOP RUSSIA'S INVASION OF UKRAINE"". https://ru.reactjs.org"
vasylnahuliak,https://github.com/EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books/pull/6744,Политические лозунги,"В документации полит. лозунг ""STOP RUSSIA'S INVASION OF UKRAINE"". https://ru.reactjs.org"
vadimdemedes,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/42,Политические лозунги,Issue с призывом платной поддержки украинской армии
alexmon1989,https://github.com/alexmon1989/russia_ddos,https://github.com/alexmon1989/russia_ddos/pull/34,"Малварь, шифровальщик или иные фатальные угрозы",Досилка
vadimdemedes,https://github.com/avajs/ava,https://github.com/avajs/ava/pull/2992,Политические лозунги,Issue с призывом платной поддержки украинской армии
alexmon1989,https://github.com/alexmon1989/russia_ddos,https://github.com/alexmon1989/russia_ddos/pull/29,"Малварь, шифровальщик или иные фатальные угрозы",Досилка
alexmon1989,https://github.com/alexmon1989/russia_ddos,https://github.com/alexmon1989/russia_ddos/pull/29,"Малварь, шифровальщик или иные фатальные угрозы",Досилка
alexmon1989,https://github.com/alexmon1989/russia_ddos,https://github.com/alexmon1989/russia_ddos/pull/28,"Малварь, шифровальщик или иные фатальные угрозы",Досилка
alexmon1989,https://github.com/alexmon1989/russia_ddos,https://github.com/alexmon1989/russia_ddos/pull/28,"Малварь, шифровальщик или иные фатальные угрозы",Досилка
alexmon1989,https://github.com/alexmon1989/russia_ddos,https://github.com/alexmon1989/russia_ddos/pull/27,"Малварь, шифровальщик или иные фатальные угрозы",Досилка
alexmon1989,https://github.com/alexmon1989/russia_ddos,https://github.com/alexmon1989/russia_ddos/pull/27,"Малварь, шифровальщик или иные фатальные угрозы",Досилка
alexmon1989,https://github.com/alexmon1989/russia_ddos,https://github.com/alexmon1989/russia_ddos/pull/24,"Малварь, шифровальщик или иные фатальные угрозы",Досилка
zkochan,https://github.com/pnpm/pnpm,https://github.com/pnpm/pnpm/pull/4532,Политические лозунги,Заблокировал сайт pnpm.io для РФ и РБ
pabio,https://github.com/pabio/redirect-russia,https://github.com/pabio/redirect-russia/pull/8,Политические лозунги,"Скрипт встраиваемый на сайты, перенаправляющий пользователей из России на страницу с политическими лозунгами"
pabio,https://github.com/pabio/redirect-russia,https://github.com/pabio/redirect-russia/pull/8,Политические лозунги,"Скрипт встраиваемый на сайты, перенаправляющий пользователей из России на страницу с политическими лозунгами"
zkochan,https://github.com/teambit/bit,https://github.com/teambit/bit/pull/5648,Политические лозунги,Заблокировал сайт pnpm.io для РФ и РБ
pabio,https://github.com/pabio/redirect-russia,https://github.com/pabio/redirect-russia/pull/7,Политические лозунги,"Скрипт встраиваемый на сайты, перенаправляющий пользователей из России на страницу с политическими лозунгами"
zkochan,https://github.com/pnpm/pnpm.github.io,https://github.com/pnpm/pnpm.github.io/pull/238,Политические лозунги,Заблокировал сайт pnpm.io для РФ и РБ
last-partizan,https://github.com/deschler/django-modeltranslation,https://github.com/deschler/django-modeltranslation/pull/630,Политические лозунги,Политические лозунги в документации
last-partizan,https://github.com/deschler/django-modeltranslation,https://github.com/deschler/django-modeltranslation/pull/630,Политические лозунги,Политические лозунги в документации
dantleech,https://github.com/phpactor/phpactor,https://github.com/phpactor/phpactor/pull/1407,Политические лозунги,standwithukraine
